"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.0884447,0.0853623
2020,1,2,0.0789735,0.082231
2020,1,3,0.0679573,0.0777505
2020,2,1,0.0703677,0.0772224
2020,2,2,0.0775358,0.0792632
2020,2,3,0.0871235,0.0838535
2020,3,1,0.107129,0.0997359
2020,3,2,0.1173576,0.1099511
2020,3,3,0.1288766,0.1206529
2020,4,1,0.1421707,0.1310724
2020,4,2,0.1650687,0.1484734
2020,4,3,0.1729835,0.1544286
2020,5,1,0.1798813,0.1578959
2020,5,2,0.1743255,0.1591972
2020,5,3,0.1783117,0.1567637
2020,6,1,0.1737199,0.1543341
2020,6,2,0.1693408,0.1517659
2020,6,3,0.1657815,0.1492662
2020,7,1,0.1603676,0.1442461
2020,7,2,0.1579632,0.1420221
2020,7,3,0.1557628,0.1400134
2020,8,1,0.1512916,0.1366082
2020,8,2,0.1493918,0.1350273
2020,8,3,0.1474806,0.1334093
2020,9,1,0.1453893,0.1315041
2020,9,2,0.1420266,0.1276402
2020,9,3,0.1392401,0.1255581
2020,10,1,0.1365427,0.1234485
2020,10,2,0.133675,0.1212709
2020,10,3,0.1286211,0.1174048
2020,11,1,0.126807,0.1156925
2020,11,2,0.1243569,0.1135229
2020,11,3,0.1112421,0.1071644
2020,12,1,0.1007736,0.1032249
2020,12,2,0.0912343,0.0986008
2020,12,3,0.0840836,0.093886
2021,1,1,0.0801899,0.0853623
2021,1,2,0.083544,0.082231
2021,1,3,0.0916785,0.0777505
2021,2,1,0.0955167,0.0772224
2021,2,2,0.0995991,0.0792632
2021,2,3,0.1042585,0.0838535
2021,3,1,0.1137564,0.0997359
2021,3,2,0.1192722,0.1099511
2021,3,3,0.1244741,0.1206529
2021,4,1,0.1292545,0.1310724
2021,4,2,0.1377637,0.1484734
2021,4,3,0.1419558,0.1544286
2021,5,1,0.1453441,0.1578959
2021,5,2,0.1480902,0.1591972
2021,5,3,0.1483136,0.1567637
2021,6,1,0.1457302,0.1543341
2021,6,2,0.1432334,0.1517659
2021,6,3,0.1413448,0.1492662
2021,7,1,0.138862,0.1442461
2021,7,2,0.1379179,0.1420221
2021,7,3,0.1369373,0.1400134
2021,8,1,0.1344307,0.1366082
2021,8,2,0.1332355,0.1350273
2021,8,3,0.1319444,0.1334093
2021,9,1,0.130425,0.1315041
2021,9,2,0.1269296,0.1276402
2021,9,3,0.1251262,0.1255581
2021,10,1,0.1231366,0.1234485
2021,10,2,0.1205285,0.1212709
2021,10,3,0.1161772,0.1174048
2021,11,1,0.1138815,0.1156925
2021,11,2,0.1113327,0.1135229
2021,11,3,0.1076221,0.1071644
2021,12,1,0.1071016,0.1032249
2021,12,2,N/A,0.0986008
2021,12,3,N/A,0.093886