"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.4800258,0.41019
2020,1,2,0.4695486,0.3967859
2020,1,3,0.4524752,0.3703318
2020,2,1,0.4451212,0.3550777
2020,2,2,0.4411812,0.3455483
2020,2,3,0.4412232,0.3461657
2020,3,1,0.4501142,0.3643933
2020,3,2,0.4563323,0.379556
2020,3,3,0.4628883,0.400074
2020,4,1,0.4727154,0.4251398
2020,4,2,0.5090904,0.4915935
2020,4,3,0.5438029,0.5334266
2020,5,1,0.5922399,0.5762997
2020,5,2,0.6228957,0.6133115
2020,5,3,0.6854019,0.6563355
2020,6,1,0.6957631,0.6631607
2020,6,2,0.6951276,0.6628194
2020,6,3,0.6894534,0.6561823
2020,7,1,0.671295,0.629672
2020,7,2,0.6586605,0.6180687
2020,7,3,0.6453564,0.6066374
2020,8,1,0.6235763,0.5894161
2020,8,2,0.6194289,0.5826087
2020,8,3,0.6142894,0.5753762
2020,9,1,0.6047453,0.5690276
2020,9,2,0.588243,0.5667722
2020,9,3,0.5858103,0.5701089
2020,10,1,0.5917366,0.5745948
2020,10,2,0.6054593,0.5751347
2020,10,3,0.6144672,0.5616007
2020,11,1,0.6033745,0.5485315
2020,11,2,0.5830012,0.5355806
2020,11,3,0.5442678,0.509741
2020,12,1,0.5305366,0.494975
2020,12,2,0.5189629,0.4735886
2020,12,3,0.5050453,0.4488145
2021,1,1,0.4743845,0.41019
2021,1,2,0.4544397,0.3967859
2021,1,3,0.4219615,0.3703318
2021,2,1,0.4169451,0.3550777
2021,2,2,0.4116917,0.3455483
2021,2,3,0.4076593,0.3461657
2021,3,1,0.4119074,0.3643933
2021,3,2,0.4122766,0.379556
2021,3,3,0.411362,0.400074
2021,4,1,0.4207083,0.4251398
2021,4,2,0.4748878,0.4915935
2021,4,3,0.5155115,0.5334266
2021,5,1,0.5599931,0.5762997
2021,5,2,0.6012112,0.6133115
2021,5,3,0.6531077,0.6563355
2021,6,1,0.667758,0.6631607
2021,6,2,0.6733318,0.6628194
2021,6,3,0.6645166,0.6561823
2021,7,1,0.6327371,0.629672
2021,7,2,0.618082,0.6180687
2021,7,3,0.6063229,0.6066374
2021,8,1,0.5897282,0.5894161
2021,8,2,0.5809063,0.5826087
2021,8,3,0.5766882,0.5753762
2021,9,1,0.5734815,0.5690276
2021,9,2,0.57187,0.5667722
2021,9,3,0.5700564,0.5701089
2021,10,1,0.5678676,0.5745948
2021,10,2,0.5683997,0.5751347
2021,10,3,0.5641426,0.5616007
2021,11,1,0.5537531,0.5485315
2021,11,2,0.5474602,0.5355806
2021,11,3,0.5587972,0.509741
2021,12,1,0.560887,0.494975
2021,12,2,N/A,0.4735886
2021,12,3,N/A,0.4488145