"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.1331983,0.1297747
2020,1,2,0.1335343,0.1302877
2020,1,3,0.133937,0.1313273
2020,2,1,0.1340227,0.1318191
2020,2,2,0.1340922,0.1323341
2020,2,3,0.1341208,0.1329491
2020,3,1,0.1343297,0.1345148
2020,3,2,0.1346577,0.1353918
2020,3,3,0.1351836,0.136247
2020,4,1,0.1357432,0.1370188
2020,4,2,0.135976,0.1375579
2020,4,3,0.13551,0.1370188
2020,5,1,0.1348844,0.1358655
2020,5,2,0.1318249,0.1341738
2020,5,3,0.1286592,0.1297818
2020,6,1,0.1263832,0.1274658
2020,6,2,0.1243588,0.1253138
2020,6,3,0.1227386,0.1234633
2020,7,1,0.1204737,0.1204332
2020,7,2,0.1198929,0.1195846
2020,7,3,0.1195264,0.1189704
2020,8,1,0.1192919,0.1182798
2020,8,2,0.1193479,0.1181312
2020,8,3,0.1195391,0.1180768
2020,9,1,0.1198232,0.1181374
2020,9,2,0.1205641,0.1185872
2020,9,3,0.1209972,0.1189868
2020,10,1,0.1214182,0.1195145
2020,10,2,0.1217522,0.1201686
2020,10,3,0.1224092,0.1219723
2020,11,1,0.1228014,0.1230663
2020,11,2,0.1232602,0.1241697
2020,11,3,0.124569,0.126286
2020,12,1,0.1253792,0.1271976
2020,12,2,0.1261475,0.1279614
2020,12,3,0.126809,0.1286215
2021,1,1,0.1277375,0.1297747
2021,1,2,0.1281343,0.1302877
2021,1,3,0.1290839,0.1313273
2021,2,1,0.1297094,0.1318191
2021,2,2,0.1303052,0.1323341
2021,2,3,0.1307045,0.1329491
2021,3,1,0.1314455,0.1345148
2021,3,2,0.1317575,0.1353918
2021,3,3,0.1318308,0.136247
2021,4,1,0.1316655,0.1370188
2021,4,2,0.1307693,0.1375579
2021,4,3,0.1299842,0.1370188
2021,5,1,0.1289013,0.1358655
2021,5,2,0.1274994,0.1341738
2021,5,3,0.1242212,0.1297818
2021,6,1,0.1227071,0.1274658
2021,6,2,0.1213153,0.1253138
2021,6,3,0.1200564,0.1234633
2021,7,1,0.1182692,0.1204332
2021,7,2,0.1177042,0.1195846
2021,7,3,0.1173846,0.1189704
2021,8,1,0.1168845,0.1182798
2021,8,2,0.116818,0.1181312
2021,8,3,0.1168882,0.1180768
2021,9,1,0.1169807,0.1181374
2021,9,2,0.1176611,0.1185872
2021,9,3,0.117937,0.1189868
2021,10,1,0.1183166,0.1195145
2021,10,2,0.1187787,0.1201686
2021,10,3,0.1201685,0.1219723
2021,11,1,0.1211638,0.1230663
2021,11,2,0.1222569,0.1241697
2021,11,3,0.1242071,0.126286
2021,12,1,0.1247393,0.1271976
2021,12,2,N/A,0.1279614
2021,12,3,N/A,0.1286215