"Year","Month","Dekad","NDVI","Average"
2020,1,1,0.6861421,0.6783345
2020,1,2,0.6924325,0.6785268
2020,1,3,0.6968207,0.6769742
2020,2,1,0.6971424,0.6761997
2020,2,2,0.6971287,0.6760843
2020,2,3,0.6961757,0.6767438
2020,3,1,0.6938647,0.6797737
2020,3,2,0.6941114,0.6813035
2020,3,3,0.6948324,0.6819677
2020,4,1,0.6948238,0.6808945
2020,4,2,0.6853934,0.6701323
2020,4,3,0.6753066,0.6593072
2020,5,1,0.6628733,0.644746
2020,5,2,0.6363466,0.6270397
2020,5,3,0.6032664,0.5853193
2020,6,1,0.5807371,0.5630852
2020,6,2,0.5584006,0.5412032
2020,6,3,0.5370614,0.5203076
2020,7,1,0.4981639,0.4804211
2020,7,2,0.480945,0.4643318
2020,7,3,0.4658704,0.4500824
2020,8,1,0.4464992,0.429629
2020,8,2,0.4429632,0.4248709
2020,8,3,0.4442168,0.4245697
2020,9,1,0.4494477,0.428998
2020,9,2,0.4700832,0.4513191
2020,9,3,0.4844078,0.4681577
2020,10,1,0.5007791,0.4876992
2020,10,2,0.5184988,0.5090563
2020,10,3,0.5578706,0.5551888
2020,11,1,0.5792371,0.5787264
2020,11,2,0.6006217,0.6014297
2020,11,3,0.6379514,0.6408261
2020,12,1,0.6509524,0.6555982
2020,12,2,0.6601826,0.6661608
2020,12,3,0.6663155,0.6729968
2021,1,1,N/A,0.6783345
2021,1,2,0.668471,0.6785268
2021,1,3,0.6562742,0.6769742
2021,2,1,0.6498161,0.6761997
2021,2,2,0.6448305,0.6760843
2021,2,3,0.6421694,0.6767438
2021,3,1,0.6482759,0.6797737
2021,3,2,0.6565523,0.6813035
2021,3,3,0.6655543,0.6819677
2021,4,1,0.6720354,0.6808945
2021,4,2,0.6724559,0.6701323
2021,4,3,0.6669535,0.6593072
2021,5,1,0.658104,0.644746
2021,5,2,0.6463607,0.6270397
2021,5,3,0.6128394,0.5853193
2021,6,1,0.591337,0.5630852
2021,6,2,0.5682043,0.5412032
2021,6,3,0.5448913,0.5203076
2021,7,1,0.5003272,0.4804211
2021,7,2,0.4815149,0.4643318
2021,7,3,0.4655059,0.4500824
2021,8,1,0.4432692,0.429629
2021,8,2,0.4387732,0.4248709
2021,8,3,0.4393983,0.4245697
2021,9,1,0.444072,0.428998
2021,9,2,0.4554573,0.4513191
2021,9,3,N/A,0.4681577
2021,10,1,N/A,0.4876992
2021,10,2,N/A,0.5090563
2021,10,3,N/A,0.5551888
2021,11,1,N/A,0.5787264
2021,11,2,N/A,0.6014297
2021,11,3,N/A,0.6408261
2021,12,1,N/A,0.6555982
2021,12,2,N/A,0.6661608
2021,12,3,N/A,0.6729968